device_id,discarded_fix_ts,rank_in_burst,reason
LA1,2008-11-15 11:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 12:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 15:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 16:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 16:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 16:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 17:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 17:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 18:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 18:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 18:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 19:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 19:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 19:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 20:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 20:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 20:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 21:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 21:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 21:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 22:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 22:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 22:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 23:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 23:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 23:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-16 00:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-16 01:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-16 02:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-16 04:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-16 04:20:49,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-16 04:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-16 05:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-16 05:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-16 06:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-16 06:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-16 06:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-16 07:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-16 07:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-16 08:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-16 08:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-16 08:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-16 09:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-16 09:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-16 14:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-16 15:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-16 15:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-16 16:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-16 16:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-16 17:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-16 18:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-17 00:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-17 05:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-17 06:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-17 06:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-17 07:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-17 08:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-17 08:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-17 08:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-17 11:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-17 11:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-17 13:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-17 15:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-17 16:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-17 16:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-17 16:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-17 17:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-17 18:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-17 18:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-17 20:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
